sample_index,timestamp_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,ax_calibrated_g,ay_calibrated_g,az_calibrated_g,gx_dps,gy_dps,gz_dps
87989,879903,1736,-20,12090,-76,-184,-276,0.01375,-0.00266,1.00093,-0.58015,-1.40458,-2.10687
87990,879913,1708,-20,12100,-67,-182,-278,0.01203,-0.00266,1.00152,-0.51145,-1.38931,-2.12214
87991,879923,1732,-12,12120,-76,-182,-278,0.01351,-0.00217,1.00271,-0.58015,-1.38931,-2.12214
87992,879933,1746,-42,12038,-77,-187,-276,0.01437,-0.00401,0.99784,-0.58779,-1.42748,-2.10687
87993,879943,1746,-28,12070,-76,-181,-282,0.01437,-0.00315,0.99974,-0.58015,-1.38168,-2.15267
87994,879953,1702,-14,12006,-80,-190,-283,0.01167,-0.00229,0.99594,-0.61069,-1.45038,-2.16031
87995,879963,1738,-38,12012,-81,-189,-283,0.01387,-0.00376,0.99629,-0.61832,-1.44275,-2.16031
87996,879973,1752,-28,12018,-73,-188,-279,0.01473,-0.00315,0.99665,-0.55725,-1.43511,-2.12977
87997,879983,1738,14,12112,-73,-182,-285,0.01387,-0.00057,1.00223,-0.55725,-1.38931,-2.17557
87998,879993,1780,-34,12114,-80,-193,-276,0.01645,-0.00351,1.00235,-0.61069,-1.47328,-2.10687
87999,880003,1756,6,12076,-81,-179,-272,0.01498,-0.00106,1.0001,-0.61832,-1.36641,-2.07634
88000,880013,1750,-16,12054,-76,-186,-277,0.01461,-0.00241,0.99879,-0.58015,-1.41985,-2.1145
88001,880023,1730,-14,12052,-76,-178,-281,0.01338,-0.00229,0.99867,-0.58015,-1.35878,-2.14504
88002,880033,1696,-20,12096,-71,-184,-283,0.0113,-0.00266,1.00128,-0.54198,-1.40458,-2.16031
88003,880043,1756,-14,12060,-79,-181,-285,0.01498,-0.00229,0.99914,-0.60305,-1.38168,-2.17557
88004,880053,1734,-74,12014,-79,-172,-283,0.01363,-0.00597,0.99641,-0.60305,-1.31298,-2.16031
