sample_index,timestamp_ms,ax_raw,ay_raw,az_raw
113394,1133953,1014,16398,-4456
113395,1133963,994,16428,-4506
113396,1133973,1060,16420,-4546
113397,1133983,1006,16274,-4648
113398,1133993,966,16366,-4234
113399,1134003,972,16354,-4454
113400,1134013,1006,16364,-4560
113401,1134023,920,16370,-4484
113402,1134033,1044,16298,-4494
113403,1134043,1020,16172,-4314
113404,1134053,1018,16124,-4282
113405,1134063,1010,16090,-4406
113406,1134073,996,16188,-4280
113407,1134083,986,16414,-4394
113408,1134093,1000,16430,-4554
113409,1134103,984,16400,-4492
113410,1134113,1012,16376,-4452
113411,1134123,1018,16326,-4430
113412,1134133,1030,16314,-4532
113413,1134143,1062,16268,-4446
113414,1134153,1018,16292,-4446
113415,1134163,1022,16324,-4454
113416,1134173,964,16306,-4518
113417,1134183,998,16312,-4508
113418,1134193,976,16348,-4482
113419,1134203,958,16360,-4456
113420,1134213,984,16330,-4430
113421,1134223,1050,16322,-4496
113422,1134233,970,16348,-4590
113423,1134243,1040,16348,-4466
113424,1134253,958,16296,-4408
113425,1134263,932,16382,-4492
113426,1134273,970,16318,-4386
113427,1134283,1028,16310,-4388
113428,1134293,960,16256,-4514
113429,1134303,988,16296,-4426
113430,1134313,988,16354,-4404
113431,1134323,1028,16236,-4376
113432,1134333,1010,16294,-4496
113433,1134343,1000,16238,-4372
113434,1134353,948,16258,-4452
113435,1134363,986,16336,-4528
113436,1134373,972,16404,-4568
113437,1134383,1042,16352,-4626
113438,1134393,944,16332,-4422
113439,1134403,960,16320,-4382
113440,1134413,956,16344,-4426
113441,1134423,984,16348,-4510
113442,1134433,978,16352,-4476
113443,1134443,930,16330,-4580
113444,1134453,970,16360,-4530
113445,1134463,940,16342,-4462
113446,1134473,966,16328,-4420
113447,1134483,996,16238,-4518
113448,1134493,946,16282,-4482
113449,1134503,1004,16328,-4598
113450,1134513,964,16362,-4520
113451,1134523,962,16342,-4512
113452,1134533,990,16318,-4408
113453,1134543,948,16294,-4534
113454,1134553,1018,16304,-4410
113455,1134563,958,16292,-4468
113456,1134573,1016,16360,-4606
113457,1134583,1008,16304,-4518
113458,1134593,944,16312,-4384
113459,1134603,1024,16330,-4468
113460,1134613,910,16234,-4378
113461,1134623,1032,16270,-4438
113462,1134633,942,16300,-4470
113463,1134643,930,16274,-4462
113464,1134653,994,16328,-4482
113465,1134663,1050,16380,-4570
113466,1134673,982,16384,-4568
113467,1134683,974,16342,-4560
113468,1134693,946,16352,-4616
113469,1134703,976,16314,-4596
113470,1134713,1000,16262,-4290
113471,1134723,982,16296,-4422
113472,1134733,966,16298,-4356
113473,1134743,988,16320,-4602
113474,1134753,994,16330,-4488
113475,1134763,984,16324,-4522
113476,1134773,998,16334,-4522
113477,1134783,992,16366,-4470
113478,1134793,964,16284,-4418
113479,1134803,1018,16274,-4458
113480,1134813,988,16316,-4528
113481,1134823,1060,16378,-4460
113482,1134833,962,16334,-4564
113483,1134843,940,16328,-4442
113484,1134853,1010,16320,-4522
113485,1134863,970,16300,-4436
113486,1134873,974,16350,-4376
113487,1134883,962,16354,-4452
113488,1134893,1000,16316,-4498
113489,1134903,996,16330,-4508
113490,1134913,964,16300,-4512
113491,1134923,980,16380,-4498
113492,1134933,1026,16388,-4470
113493,1134943,972,16346,-4618
113494,1134953,1002,16306,-4446
113495,1134963,940,16290,-4460
113496,1134973,1076,16314,-4478
113497,1134983,1056,16360,-4500
113498,1134993,1006,16318,-4492
113499,1135003,958,16276,-4514
113500,1135013,956,16316,-4418
113501,1135023,1004,16326,-4514
