sample_index,timestamp_ms,ax_raw,ay_raw,az_raw
197286,1972873,-14784,-282,-4180
197287,1972883,-14818,-296,-4136
197288,1972893,-14814,-256,-4140
197289,1972903,-14840,-264,-4168
197290,1972913,-14844,-240,-4134
197291,1972923,-14816,-278,-4142
197292,1972933,-14840,-284,-4194
197293,1972943,-14772,-228,-4212
197294,1972953,-14834,-232,-4216
197295,1972963,-14800,-246,-4102
197296,1972973,-14798,-212,-4184
197297,1972983,-14794,-258,-4116
197298,1972993,-14802,-288,-4204
197299,1973003,-14802,-274,-4240
197300,1973013,-14806,-244,-4194
197301,1973023,-14786,-278,-4188
197302,1973033,-14834,-238,-4214
197303,1973043,-14840,-222,-4182
197304,1973053,-14794,-264,-4214
197305,1973063,-14844,-244,-4162
197306,1973073,-14820,-232,-4174
197307,1973083,-14826,-226,-4166
197308,1973093,-14854,-290,-4110
197309,1973103,-14806,-248,-4130
197310,1973113,-14818,-244,-4214
197311,1973123,-14834,-242,-4174
197312,1973133,-14836,-200,-4178
197313,1973143,-14814,-242,-4114
197314,1973153,-14792,-256,-4094
197315,1973163,-14864,-254,-4202
197316,1973173,-14828,-262,-4184
197317,1973183,-14836,-262,-4104
197318,1973193,-14802,-286,-4116
197319,1973203,-14798,-234,-4164
197320,1973213,-14820,-266,-4206
197321,1973223,-14804,-274,-4178
197322,1973233,-14812,-286,-4118
197323,1973243,-14808,-254,-4218
197324,1973253,-14808,-256,-4176
197325,1973263,-14784,-226,-4174
197326,1973273,-14828,-198,-4202
197327,1973283,-14840,-256,-4158
197328,1973293,-14822,-256,-4206
197329,1973303,-14828,-244,-4174
197330,1973313,-14800,-226,-4188
197331,1973323,-14794,-250,-4218
197332,1973333,-14766,-264,-4180
197333,1973343,-14778,-238,-4284
197334,1973353,-14784,-274,-4174
197335,1973363,-14822,-282,-4136
197336,1973373,-14842,-248,-4152
197337,1973383,-14824,-242,-4152
197338,1973393,-14832,-218,-4168
197339,1973403,-14810,-220,-4138
197340,1973413,-14802,-252,-4162
197341,1973423,-14776,-206,-4234
197342,1973433,-14804,-226,-4166
197343,1973443,-14802,-230,-4152
197344,1973453,-14764,-246,-4120
197345,1973463,-14810,-272,-4172
197346,1973473,-14798,-234,-4238
197347,1973483,-14812,-254,-4204
197348,1973493,-14758,-248,-4114
197349,1973503,-14786,-272,-4110
197350,1973513,-14808,-254,-4152
197351,1973523,-14806,-218,-4202
197352,1973533,-14798,-248,-4166
197353,1973543,-14836,-208,-4116
197354,1973553,-14774,-210,-4230
197355,1973563,-14808,-270,-4190
197356,1973573,-14796,-278,-4228
197357,1973583,-14810,-244,-4114
197358,1973593,-14794,-294,-4134
197359,1973603,-14756,-236,-4142
197360,1973613,-14846,-254,-4230
197361,1973623,-14766,-276,-4126
197362,1973633,-14786,-310,-4156
197363,1973643,-14794,-260,-4178
197364,1973653,-14798,-246,-4202
197365,1973663,-14784,-266,-4164
197366,1973673,-14824,-246,-4188
197367,1973683,-14798,-240,-4084
197368,1973693,-14790,-304,-4142
197369,1973703,-14830,-224,-4166
197370,1973713,-14836,-256,-4224
197371,1973723,-14844,-260,-4186
197372,1973733,-14814,-204,-4126
197373,1973743,-14824,-256,-4162
197374,1973753,-14800,-242,-4118
197375,1973763,-14840,-278,-4194
197376,1973773,-14818,-286,-4120
197377,1973783,-14808,-252,-4152
197378,1973793,-14844,-240,-4102
197379,1973803,-14826,-200,-4152
197380,1973813,-14792,-236,-4186
197381,1973823,-14806,-238,-4160
197382,1973833,-14772,-284,-4168
197383,1973843,-14858,-206,-4146
197384,1973853,-14834,-252,-4152
197385,1973863,-14822,-240,-4148
197386,1973873,-14832,-250,-4162
197387,1973883,-14804,-206,-4114
197388,1973893,-14806,-240,-4238
197389,1973903,-14842,-266,-4182
197390,1973913,-14800,-282,-4234
197391,1973923,-14856,-252,-4140
197392,1973933,-14840,-224,-4142
197393,1973943,-14794,-250,-4158
197394,1973953,-14798,-274,-4148
197395,1973963,-14836,-256,-4164
197396,1973973,-14854,-210,-4136
197397,1973983,-14806,-294,-4202
197398,1973993,-14806,-272,-4158
197399,1974003,-14794,-222,-4118
197400,1974013,-14780,-226,-4212
197401,1974023,-14822,-226,-4152
197402,1974033,-14806,-236,-4160
197403,1974043,-14790,-252,-4142
197404,1974053,-14804,-254,-4154
197405,1974063,-14768,-272,-4200
197406,1974073,-14798,-258,-4182
197407,1974083,-14828,-244,-4162
197408,1974093,-14798,-266,-4162
197409,1974103,-14830,-236,-4192
197410,1974113,-14828,-276,-4216
197411,1974123,-14758,-304,-4190
197412,1974133,-14816,-236,-4184
197413,1974143,-14814,-278,-4146
197414,1974153,-14824,-232,-4172
197415,1974163,-14824,-240,-4162
197416,1974173,-14828,-252,-4166
197417,1974183,-14822,-254,-4220
197418,1974193,-14794,-248,-4158
197419,1974203,-14830,-242,-4114
197420,1974213,-14824,-252,-4180
197421,1974223,-14810,-268,-4162
197422,1974233,-14820,-266,-4142
197423,1974243,-14804,-250,-4140
197424,1974253,-14794,-248,-4176
197425,1974263,-14806,-266,-4182
197426,1974273,-14800,-210,-4132
197427,1974283,-14784,-208,-4152
197428,1974293,-14824,-258,-4114
197429,1974303,-14808,-256,-4204
197430,1974313,-14832,-274,-4220
197431,1974323,-14812,-240,-4160
197432,1974333,-14836,-264,-4146
197433,1974343,-14850,-248,-4094
197434,1974353,-14778,-300,-4096
197435,1974363,-14820,-236,-4190
197436,1974373,-14778,-224,-4210
197437,1974383,-14788,-234,-4194
197438,1974393,-14812,-234,-4204
197439,1974403,-14760,-198,-4244
197440,1974413,-14788,-254,-4112
197441,1974423,-14806,-266,-4128
197442,1974433,-14822,-276,-4152
197443,1974443,-14820,-220,-4166
197444,1974453,-14808,-252,-4206
197445,1974463,-14820,-296,-4190
197446,1974473,-14808,-272,-4140
197447,1974483,-14820,-256,-4218
197448,1974493,-14812,-222,-4190
197449,1974503,-14854,-244,-4158
197450,1974513,-14750,-264,-4136
197451,1974523,-14756,-278,-4126
197452,1974533,-14790,-194,-4124
197453,1974543,-14808,-238,-4132
197454,1974553,-14782,-232,-4154
197455,1974563,-14800,-228,-4180
197456,1974573,-14818,-214,-4150
197457,1974583,-14876,-266,-4114
197458,1974593,-14864,-266,-4150
197459,1974603,-14820,-224,-4140
197460,1974613,-14852,-284,-4178
197461,1974623,-14822,-268,-4106
197462,1974633,-14782,-244,-4174
197463,1974643,-14788,-254,-4138
197464,1974653,-14776,-264,-4196
197465,1974663,-14838,-296,-4192
197466,1974673,-14816,-234,-4096
197467,1974683,-14786,-206,-4156
197468,1974693,-14852,-266,-4096
197469,1974703,-14800,-222,-4198
197470,1974713,-14810,-272,-4170
197471,1974723,-14848,-206,-4124
197472,1974733,-14812,-204,-4204
197473,1974743,-14818,-242,-4162
197474,1974753,-14826,-238,-4240
197475,1974763,-14804,-240,-4218
197476,1974773,-14822,-266,-4122
197477,1974783,-14798,-256,-4162
197478,1974793,-14788,-256,-4152
197479,1974803,-14808,-262,-4158
197480,1974813,-14844,-260,-4188
197481,1974823,-14814,-224,-4188
197482,1974833,-14828,-234,-4108
197483,1974843,-14832,-278,-4138
197484,1974853,-14772,-232,-4230
197485,1974863,-14774,-262,-4198
197486,1974873,-14836,-278,-4142
197487,1974883,-14816,-250,-4128
197488,1974893,-14828,-246,-4094
197489,1974903,-14760,-252,-4132
197490,1974913,-14800,-244,-4186
197491,1974923,-14770,-240,-4158
197492,1974933,-14824,-288,-4160
197493,1974943,-14826,-228,-4114
197494,1974953,-14828,-244,-4162
197495,1974963,-14798,-264,-4164
197496,1974973,-14826,-218,-4136
197497,1974983,-14830,-220,-4134
197498,1974993,-14830,-266,-4182
197499,1975003,-14758,-240,-4174
197500,1975013,-14838,-242,-4142
197501,1975023,-14766,-272,-4110
197502,1975033,-14784,-258,-4218
197503,1975043,-14824,-292,-4178
197504,1975053,-14810,-200,-4166
197505,1975063,-14814,-244,-4186
197506,1975073,-14788,-258,-4122
197507,1975083,-14798,-226,-4228
197508,1975093,-14788,-272,-4086
197509,1975103,-14798,-284,-4164
197510,1975113,-14846,-252,-4140
197511,1975123,-14796,-244,-4176
197512,1975133,-14858,-210,-4148
197513,1975143,-14848,-246,-4236
197514,1975153,-14818,-266,-4200
197515,1975163,-14778,-284,-4146
197516,1975173,-14770,-236,-4140
197517,1975183,-14812,-254,-4200
197518,1975193,-14812,-228,-4198
197519,1975203,-14842,-258,-4262
197520,1975213,-14818,-276,-4216
197521,1975223,-14828,-236,-4108
197522,1975233,-14866,-242,-4080
197523,1975243,-14776,-300,-4148
197524,1975253,-14754,-256,-4200
197525,1975263,-14834,-206,-4184
197526,1975273,-14844,-240,-4204
197527,1975283,-14870,-232,-4166
197528,1975293,-14810,-276,-4184
197529,1975303,-14794,-238,-4140
197530,1975313,-14844,-210,-4174
197531,1975323,-14834,-272,-4168
197532,1975333,-14794,-286,-4132
197533,1975343,-14796,-258,-4226
197534,1975353,-14818,-222,-4212
197535,1975363,-14804,-252,-4148
197536,1975373,-14822,-204,-4212
197537,1975383,-14738,-214,-4190
197538,1975393,-14772,-196,-4166
197539,1975403,-14828,-288,-4182
197540,1975413,-14790,-272,-4084
197541,1975423,-14808,-270,-4088
197542,1975433,-14780,-252,-4142
197543,1975443,-14794,-220,-4178
197544,1975453,-14846,-240,-4218
197545,1975463,-14836,-264,-4168
197546,1975473,-14764,-216,-4138
197547,1975483,-14788,-248,-4148
197548,1975493,-14758,-228,-4196
197549,1975503,-14810,-278,-4170
197550,1975513,-14848,-254,-4224
197551,1975523,-14812,-208,-4180
197552,1975533,-14810,-238,-4124
197553,1975543,-14782,-298,-4148
197554,1975553,-14842,-258,-4180
197555,1975563,-14866,-246,-4140
197556,1975573,-14852,-258,-4154
197557,1975583,-14812,-280,-4148
197558,1975593,-14848,-250,-4146
197559,1975603,-14804,-228,-4112
197560,1975613,-14810,-204,-4214
197561,1975623,-14764,-240,-4056
197562,1975633,-14782,-268,-4172
197563,1975643,-14838,-238,-4148
197564,1975653,-14816,-254,-4142
197565,1975663,-14804,-262,-4172
197566,1975673,-14824,-244,-4190
197567,1975683,-14796,-250,-4170
197568,1975693,-14726,-268,-4146
197569,1975703,-14764,-220,-4180
197570,1975713,-14874,-242,-4172
197571,1975723,-14754,-206,-4130
197572,1975733,-14816,-224,-4142
197573,1975743,-14814,-246,-4184
197574,1975753,-14812,-206,-4192
197575,1975763,-14812,-212,-4156
197576,1975773,-14810,-252,-4158
197577,1975783,-14800,-256,-4070
197578,1975793,-14796,-254,-4182
197579,1975803,-14794,-268,-4082
197580,1975813,-14782,-270,-4148
197581,1975823,-14818,-276,-4124
197582,1975833,-14864,-278,-4176
197583,1975843,-14830,-256,-4218
197584,1975853,-14824,-258,-4138
197585,1975863,-14806,-268,-4158
197586,1975873,-14852,-238,-4162
197587,1975883,-14816,-230,-4118
197588,1975893,-14788,-234,-4196
