sample_index,timestamp_ms,ax_raw,ay_raw,az_raw
132121,1321223,1874,-16278,-3748
132122,1321233,1686,-16316,-3752
132123,1321243,1806,-16264,-3722
132124,1321253,1852,-16238,-3758
132125,1321263,1920,-16278,-3694
132126,1321273,1892,-16286,-3708
132127,1321283,1814,-16300,-3708
132128,1321293,1784,-16264,-3744
132129,1321303,1754,-16260,-3680
132130,1321313,1756,-16302,-3660
132131,1321323,1724,-16268,-3628
132132,1321333,1722,-16262,-3706
132133,1321343,1790,-16242,-3662
132134,1321353,1870,-16232,-3664
132135,1321363,1788,-16286,-3744
132136,1321373,1718,-16286,-3722
132137,1321383,1714,-16244,-3640
132138,1321393,1698,-16268,-3668
132139,1321403,1702,-16264,-3754
132140,1321413,1730,-16260,-3716
132141,1321423,1706,-16256,-3634
132142,1321433,1758,-16272,-3700
132143,1321443,1668,-16300,-3686
132144,1321453,1722,-16250,-3720
132145,1321463,1684,-16326,-3740
132146,1321473,1792,-16270,-3764
132147,1321483,1702,-16294,-3700
132148,1321493,1716,-16308,-3708
132149,1321503,1840,-16272,-3676
132150,1321513,1818,-16262,-3688
132151,1321523,1810,-16242,-3786
132152,1321533,1702,-16284,-3736
132153,1321543,1782,-16258,-3694
132154,1321553,1780,-16242,-3700
132155,1321563,1752,-16336,-3690
132156,1321573,1756,-16324,-3716
132157,1321583,1762,-16242,-3658
132158,1321593,1624,-16308,-3710
132159,1321603,1756,-16278,-3694
132160,1321613,1758,-16270,-3648
132161,1321623,1810,-16300,-3662
132162,1321633,1666,-16336,-3694
132163,1321643,1786,-16284,-3674
132164,1321653,1750,-16274,-3708
132165,1321663,1826,-16284,-3658
132166,1321673,1758,-16258,-3696
132167,1321683,1692,-16324,-3694
132168,1321693,1696,-16296,-3710
132169,1321703,1782,-16268,-3656
132170,1321713,1804,-16224,-3700
132171,1321723,1798,-16286,-3716
132172,1321733,1746,-16316,-3720
132173,1321743,1678,-16304,-3726
132174,1321753,1724,-16282,-3720
132175,1321763,1792,-16294,-3714
132176,1321773,1662,-16260,-3708
132177,1321783,1730,-16294,-3658
132178,1321793,1794,-16276,-3650
132179,1321803,1742,-16290,-3730
132180,1321813,1818,-16310,-3642
132181,1321823,1700,-16248,-3730
132182,1321833,1738,-16286,-3656
132183,1321843,1822,-16304,-3676
132184,1321853,1880,-16198,-3648
132185,1321863,1680,-16262,-3630
132186,1321873,1728,-16324,-3710
132187,1321883,1760,-16242,-3726
132188,1321893,1720,-16292,-3664
132189,1321903,1778,-16304,-3664
132190,1321913,1704,-16294,-3684
132191,1321923,1700,-16266,-3712
132192,1321933,1732,-16278,-3716
132193,1321943,1762,-16262,-3718
132194,1321953,1698,-16276,-3594
132195,1321963,1704,-16298,-3714
132196,1321973,1750,-16298,-3654
132197,1321983,1744,-16312,-3624
132198,1321993,1752,-16272,-3654
132199,1322003,1756,-16306,-3776
132200,1322013,1792,-16254,-3720
132201,1322023,1790,-16304,-3742
132202,1322033,1760,-16262,-3724
132203,1322043,1784,-16324,-3704
132204,1322053,1754,-16270,-3716
132205,1322063,1766,-16270,-3752
132206,1322073,1690,-16300,-3760
132207,1322083,1734,-16276,-3644
132208,1322093,1676,-16318,-3684
132209,1322103,1748,-16296,-3724
132210,1322113,1720,-16296,-3714
132211,1322123,1792,-16312,-3660
132212,1322133,1722,-16312,-3694
132213,1322143,1660,-16288,-3746
132214,1322153,1800,-16272,-3722
132215,1322163,1796,-16302,-3662
132216,1322173,1580,-16352,-3766
132217,1322183,1736,-16256,-3720
132218,1322193,1792,-16262,-3684
132219,1322203,1860,-16232,-3684
132220,1322213,1660,-16308,-3720
132221,1322223,1794,-16294,-3670
132222,1322233,1780,-16272,-3698
132223,1322243,1612,-16272,-3744
132224,1322253,1670,-16236,-3704
132225,1322263,1708,-16278,-3658
132226,1322273,1622,-16306,-3724
132227,1322283,1628,-16326,-3698
132228,1322293,1634,-16282,-3674
132229,1322303,1644,-16268,-3654
132230,1322313,1806,-16226,-3666
132231,1322323,1632,-16298,-3704
132232,1322333,1784,-16268,-3668
132233,1322343,1694,-16286,-3684
132234,1322353,1704,-16308,-3754
