sample_index,timestamp_ms,ax_raw,ay_raw,az_raw
139570,1395713,1706,32,-21568
139571,1395723,1696,30,-21590
139572,1395733,1728,80,-21540
139573,1395743,1714,30,-21538
139574,1395753,1704,66,-21542
139575,1395763,1692,48,-21558
139576,1395773,1668,56,-21570
139577,1395783,1664,16,-21588
139578,1395793,1708,42,-21544
139579,1395803,1702,88,-21584
139580,1395813,1714,86,-21540
139581,1395823,1746,-12,-21572
139582,1395833,1682,44,-21574
139583,1395843,1744,60,-21518
139584,1395853,1690,48,-21582
139585,1395863,1698,42,-21534
139586,1395873,1698,10,-21632
139587,1395883,1738,76,-21580
139588,1395893,1672,26,-21572
139589,1395903,1706,34,-21574
139590,1395913,1732,16,-21612
139591,1395923,1676,16,-21536
139592,1395933,1704,50,-21642
139593,1395943,1734,40,-21548
139594,1395953,1722,32,-21598
139595,1395963,1700,52,-21606
139596,1395973,1674,24,-21584
139597,1395983,1734,60,-21554
139598,1395993,1654,38,-21582
139599,1396003,1714,30,-21604
139600,1396013,1686,78,-21492
139601,1396023,1732,52,-21580
139602,1396033,1714,52,-21574
139603,1396043,1690,80,-21600
139604,1396053,1660,52,-21606
139605,1396063,1706,46,-21670
139606,1396073,1724,32,-21534
139607,1396083,1684,82,-21516
139608,1396093,1704,44,-21544
139609,1396103,1686,50,-21528
139610,1396113,1720,90,-21616
139611,1396123,1730,40,-21598
139612,1396133,1674,52,-21636
139613,1396143,1694,74,-21600
139614,1396153,1726,36,-21536
139615,1396163,1720,42,-21544
139616,1396173,1704,28,-21612
139617,1396183,1662,34,-21644
139618,1396193,1728,64,-21584
139619,1396203,1704,68,-21514
139620,1396213,1668,68,-21582
139621,1396223,1712,66,-21610
139622,1396233,1710,54,-21618
139623,1396243,1690,82,-21590
139624,1396253,1682,8,-21522
139625,1396263,1726,74,-21616
139626,1396273,1664,66,-21612
139627,1396283,1648,84,-21574
139628,1396293,1754,28,-21476
139629,1396303,1726,38,-21596
139630,1396313,1702,88,-21586
139631,1396323,1668,32,-21572
139632,1396333,1678,98,-21516
139633,1396343,1724,28,-21542
139634,1396353,1718,64,-21510
139635,1396363,1674,90,-21574
139636,1396373,1676,72,-21568
139637,1396383,1708,42,-21600
139638,1396393,1752,54,-21568
139639,1396403,1712,30,-21584
139640,1396413,1702,40,-21558
139641,1396423,1720,52,-21612
139642,1396433,1734,44,-21564
139643,1396443,1724,42,-21566
139644,1396453,1716,74,-21566
139645,1396463,1678,34,-21540
139646,1396473,1662,38,-21570
139647,1396483,1752,32,-21550
139648,1396493,1694,78,-21556
139649,1396503,1650,58,-21504
139650,1396513,1682,84,-21550
139651,1396523,1688,72,-21548
139652,1396533,1722,58,-21592
139653,1396543,1686,58,-21594
139654,1396553,1742,52,-21584
139655,1396563,1748,50,-21636
139656,1396573,1684,64,-21628
139657,1396583,1722,52,-21612
139658,1396593,1660,26,-21534
139659,1396603,1686,72,-21576
139660,1396613,1694,22,-21554
139661,1396623,1664,40,-21562
139662,1396633,1734,54,-21652
139663,1396643,1782,80,-21594
139664,1396653,1696,50,-21554
139665,1396663,1694,60,-21584
139666,1396673,1720,46,-21608
139667,1396683,1660,54,-21618
139668,1396693,1710,22,-21508
139669,1396703,1694,26,-21570
139670,1396713,1680,54,-21596
139671,1396723,1698,42,-21592
139672,1396733,1760,66,-21564
139673,1396743,1742,66,-21466
139674,1396753,1690,74,-21594
139675,1396763,1678,52,-21524
139676,1396773,1724,32,-21602
139677,1396783,1760,62,-21542
139678,1396793,1700,50,-21486
139679,1396803,1722,32,-21610
139680,1396813,1692,50,-21626
139681,1396823,1706,48,-21576
139682,1396833,1714,14,-21552
139683,1396843,1664,50,-21562
139684,1396853,1698,56,-21598
139685,1396863,1694,62,-21604
139686,1396873,1692,66,-21552
139687,1396883,1746,92,-21508
139688,1396893,1658,66,-21586
139689,1396903,1704,4,-21546
139690,1396913,1698,32,-21598
139691,1396923,1718,38,-21564
